"fecha";"Run Fondo";"serie";"periodo";"rentabilidades_acumuladas"
2023-02-25;"9193";APV;"6M";-0.061119147465639956
2023-02-25;"9193";APV;"1Y";-0.02048886084301471
2023-02-25;"9193";APV;YTD;-0.0010181076222287588
2023-02-25;"9428";APV;"1M";-0.014325950949827693
2023-02-25;"9428";APV;"3M";-0.05086311004308719
2023-02-25;"9428";APV;"6M";-0.06485278132336669
2023-02-25;"9428";APV;"1Y";-0.026456537029244775
2023-02-25;"9428";APV;YTD;-0.002079670046499893
2023-02-25;"9511";APV;"1M";0.005004923535019801
2023-02-25;"9511";APV;"3M";0.011197911520068438
2023-02-25;"9511";APV;"6M";0.026066167454815714
2023-02-25;"9511";APV;"1Y";0.19247240620290929
2023-02-25;"9511";APV;YTD;0.00636579305057583
2023-02-25;"9648";APV;"1M";-0.0020776299288139954
2023-02-25;"9648";APV;"3M";-0.07010456736731874
2023-02-25;"9648";APV;"6M";-0.07605181451771004
2023-02-25;"9648";APV;"1Y";-0.026370350239247498
2023-02-25;"9648";APV;YTD;-0.00833831808687413
2023-02-25;"9873";APV;"1M";-0.013210659830815596
2023-02-25;"9873";APV;"3M";-0.06311072227454095
2023-02-25;"9873";APV;"6M";-0.09224192243255036
2023-02-25;"9873";APV;"1Y";-0.05736595551178769
2023-02-25;"9873";APV;YTD;-0.007388115002059714
2023-02-26;"8577";APV;"1M";-0.022310181376856475
2023-02-26;"8577";APV;"3M";-0.06326164518947952
2023-02-26;"8577";APV;"6M";-0.060855836591840906
2023-02-26;"8577";APV;"1Y";-0.04795261675388063
2023-02-26;"8577";APV;YTD;-0.01589697994918493
2023-02-26;"8640";APV;"1M";-0.031399815288309596
2023-02-26;"8640";APV;"3M";-0.055435930915220144
2023-02-26;"8640";APV;"6M";-0.07598848532662716
2023-02-26;"8640";APV;"1Y";-0.057215638282066994
2023-02-26;"8640";APV;YTD;-0.012314175037561603
2023-02-26;"8740";APV;"1M";-0.018309329371351657
2023-02-26;"8740";APV;"3M";-0.046359200252861665
2023-02-26;"8740";APV;"6M";-0.05278266402208476
2023-02-26;"8740";APV;"1Y";-0.010280763037393115
2023-02-26;"8740";APV;YTD;-0.0017592248557734003
2023-02-26;"8785";APV;"1M";-0.027721781057958195
2023-02-26;"8785";APV;"3M";-0.07223487831454178
2023-02-26;"8785";APV;"6M";-0.08785761965440175
2023-02-26;"8785";APV;"1Y";-0.05403627565182645
2023-02-26;"8785";APV;YTD;-0.015454054899747272
2023-02-26;"8844";APV;"1M";-0.018866189994434013
2023-02-26;"8844";APV;"3M";-0.06397170807984942
2023-02-26;"8844";APV;"6M";-0.056253269508155235
2023-02-26;"8844";APV;"1Y";-0.02346467672023933
2023-02-26;"8844";APV;YTD;-0.01290985707052228
2023-02-26;"8908";APV;"1M";-0.0037381416206038187
2023-02-26;"8908";APV;"3M";-0.07114667149753306
2023-02-26;"8908";APV;"6M";-0.06476718952602001
2023-02-26;"8908";APV;"1Y";-0.02083609328367586
2023-02-26;"8908";APV;YTD;-0.005170503805215443
2023-02-26;"8993";APV;"1M";-0.026455271984555884
2023-02-26;"8993";APV;"3M";-0.09881585140987292
2023-02-26;"8993";APV;"6M";-0.10932578943008797
2023-02-26;"8993";APV;"1Y";-0.08539054816244462
2023-02-26;"8993";APV;YTD;-0.02980811445568332
2023-02-26;"9060";APV;"1M";-0.011456303824875724
2023-02-26;"9060";APV;"3M";-0.07057252819852189
2023-02-26;"9060";APV;"6M";-0.06540477395409983
2023-02-26;"9060";APV;"1Y";-0.0134545046734601
2023-02-26;"9060";APV;YTD;-0.00701691707884089
2023-02-26;"9193";APV;"1M";-0.02004682944100933
2023-02-26;"9193";APV;"3M";-0.0486140046074206
2023-02-26;"9193";APV;"6M";-0.04927420406930538
2023-02-26;"9193";APV;"1Y";-0.020486778749477907
2023-02-26;"9193";APV;YTD;-0.0010520709268929673
2023-02-26;"9428";APV;"1M";-0.02042327909426722
2023-02-26;"9428";APV;"3M";-0.050857538124881585
2023-02-26;"9428";APV;"6M";-0.05314185193696841
2023-02-26;"9428";APV;"1Y";-0.02645522790236765
2023-02-26;"9428";APV;YTD;-0.0021266609660679503
2023-02-26;"9511";APV;"1M";-0.001351091985634989
2023-02-26;"9511";APV;"3M";0.011250053081658162
2023-02-26;"9511";APV;"6M";0.024016400998057907
2023-02-26;"9511";APV;"1Y";0.19238801508302616
2023-02-26;"9511";APV;YTD;0.006511632870328743
2023-02-26;"9648";APV;"1M";-0.006450694362499787
2023-02-26;"9648";APV;"3M";-0.07009654359307826
2023-02-26;"9648";APV;"6M";-0.06915945194738493
2023-02-26;"9648";APV;"1Y";-0.026377533120249597
2023-02-26;"9648";APV;YTD;-0.008299238134001796
2023-02-26;"9873";APV;"1M";-0.019282847828620997
2023-02-26;"9873";APV;"3M";-0.06310940928024189
2023-02-26;"9873";APV;"6M";-0.07729175536423116
2023-02-26;"9873";APV;"1Y";-0.05736904781582142
2023-02-26;"9873";APV;YTD;-0.007406633102693627
2023-02-27;"8577";APV;"1M";-0.010615161816184382
2023-02-27;"8577";APV;"3M";-0.050167438389150054
2023-02-27;"8577";APV;"6M";-0.04771914962625523
2023-02-27;"8577";APV;"1Y";-0.03462279420829628
2023-02-27;"8577";APV;YTD;-0.002152838203341112
2023-02-27;"8640";APV;"1M";-0.019800129344845985
2023-02-27;"8640";APV;"3M";-0.040851427715351774
2023-02-27;"8640";APV;"6M";-0.061740353560139405
2023-02-27;"8640";APV;"1Y";-0.04265043317998907
2023-02-27;"8640";APV;YTD;0.002920059452118595
2023-02-27;"8740";APV;"1M";-0.005497703294968237
2023-02-27;"8740";APV;"3M";-0.03381013122219534
2023-02-27;"8740";APV;"6M";-0.040921724808848814
2023-02-27;"8740";APV;"1Y";0.002814218605870389
2023-02-27;"8740";APV;YTD;0.01141065825883758
2023-02-27;"8785";APV;"1M";-0.011732421912204138
2023-02-27;"8785";APV;"3M";-0.058782938546405594
2023-02-27;"8785";APV;"6M";-0.07463459768371539
2023-02-27;"8785";APV;"1Y";-0.0403000627301332
2023-02-27;"8785";APV;YTD;-0.0011620440943401755
2023-02-27;"8844";APV;"1M";-0.006558806963971819
2023-02-27;"8844";APV;"3M";-0.05192912889907042
2023-02-27;"8844";APV;"6M";-0.04410724642264752
2023-02-27;"8844";APV;"1Y";-0.010890942512411184
2023-02-27;"8844";APV;YTD;-0.0001916158013894
2023-02-27;"8908";APV;"1M";0.0051760309231421164
2023-02-27;"8908";APV;"3M";-0.05850695521128313
2023-02-27;"8908";APV;"6M";-0.05205748374786168
2023-02-27;"8908";APV;"1Y";-0.0075115577802561395
2023-02-27;"8908";APV;YTD;0.008397453203306648
2023-02-27;"8993";APV;"1M";-0.011577651846571224
2023-02-27;"8993";APV;"3M";-0.08251894027099693
2023-02-27;"8993";APV;"6M";-0.09321993687309338
2023-02-27;"8993";APV;"1Y";-0.06886300013211188
2023-02-27;"8993";APV;YTD;-0.012310446234497396
2023-02-27;"9060";APV;"1M";0.000356654320836
2023-02-27;"9060";APV;"3M";-0.05509124289392353
2023-02-27;"9060";APV;"6M";-0.049874571692066216
2023-02-27;"9060";APV;"1Y";0.0029510203820186653
2023-02-27;"9060";APV;YTD;0.009532816320678483
2023-02-27;"9193";APV;"1M";-0.012027070961739716
2023-02-27;"9193";APV;"3M";-0.03846601946005912
2023-02-27;"9193";APV;"6M";-0.03914302673045478
2023-02-27;"9193";APV;"1Y";-0.010042701467008475
2023-02-27;"9193";APV;YTD;0.009562828947558
2023-02-27;"9428";APV;"1M";-0.012522350648036307
2023-02-27;"9428";APV;"3M";-0.04069361031292151
2023-02-27;"9428";APV;"6M";-0.04301244478019639
2023-02-27;"9428";APV;"1Y";-0.01603421478257816
2023-02-27;"9428";APV;YTD;0.008505919689138164
2023-02-27;"9511";APV;"1M";-0.0000807717220273
2023-02-27;"9511";APV;"3M";0.01487534911067101
2023-02-27;"9511";APV;"6M";0.027567374061589378
2023-02-27;"9511";APV;"1Y";0.19651632206543046
2023-02-27;"9511";APV;YTD;0.01021433222520196
2023-02-27;"9648";APV;"1M";-0.0001256761929784
2023-02-27;"9648";APV;"3M";-0.05971418300468023
2023-02-27;"9648";APV;"6M";-0.058789855989085815
2023-02-27;"9648";APV;"1Y";-0.01552273557174988
2023-02-27;"9648";APV;YTD;0.0028040252351457795
2023-02-27;"9873";APV;"1M";-0.009150112937032495
2023-02-27;"9873";APV;"3M";-0.05071569387825259
2023-02-27;"9873";APV;"6M";-0.06508672739824972
2023-02-27;"9873";APV;"1Y";-0.04490386755452713
2023-02-27;"9873";APV;YTD;0.005703777378834651
2023-02-28;"8577";APV;"1M";-0.011921815063133612
2023-02-28;"8577";APV;"3M";-0.04448542692455104
2023-02-28;"8577";APV;"6M";-0.048968651749988656
2023-02-28;"8577";APV;"1Y";-0.03236085419960166
2023-02-28;"8577";APV;YTD;-0.003483527217818305
2023-02-28;"8640";APV;"1M";-0.02226338484734791
2023-02-28;"8640";APV;"3M";-0.03911930846759537
2023-02-28;"8640";APV;"6M";-0.0641197866267178
2023-02-28;"8640";APV;"1Y";-0.038366460043428474
2023-02-28;"8640";APV;YTD;0.0003808898629061
2023-02-28;"8740";APV;"1M";-0.007298105370323937
2023-02-28;"8740";APV;"3M";-0.02845463289019956
2023-02-28;"8740";APV;"6M";-0.04268149525606324
2023-02-28;"8740";APV;"1Y";0.010939815979323253
2023-02-28;"8740";APV;YTD;0.009592411094110576
2023-02-28;"8785";APV;"1M";-0.01353270162195741
2023-02-28;"8785";APV;"3M";-0.054312786020989434
2023-02-28;"8785";APV;"6M";-0.0763364071805025
2023-02-28;"8785";APV;"1Y";-0.0334457824313148
2023-02-28;"8785";APV;YTD;-0.0029794864013419353
2023-02-28;"8844";APV;"1M";-0.0077609261248251515
2023-02-28;"8844";APV;"3M";-0.04759616636382269
2023-02-28;"8844";APV;"6M";-0.04526089267534039
2023-02-28;"8844";APV;"1Y";-0.005157327187088168
2023-02-28;"8844";APV;YTD;-0.0013838918989264037
2023-02-28;"8908";APV;"1M";0.004320098243009163
2023-02-28;"8908";APV;"3M";-0.05438066884030657
2023-02-28;"8908";APV;"6M";-0.05287995168864179
2023-02-28;"8908";APV;"1Y";-0.007342968953007234
2023-02-28;"8908";APV;YTD;0.007570903297858811
2023-02-28;"8993";APV;"1M";-0.015397676369759195
2023-02-28;"8993";APV;"3M";-0.0798221365457712
2023-02-28;"8993";APV;"6M";-0.09672292680925643
2023-02-28;"8993";APV;"1Y";-0.06353981408420639
2023-02-28;"8993";APV;YTD;-0.016171952704931214
2023-02-28;"9060";APV;"1M";-0.0017542714796722203
2023-02-28;"9060";APV;"3M";-0.05130775124091069
2023-02-28;"9060";APV;"6M";-0.0519273792867585
2023-02-28;"9060";APV;"1Y";0.0044211767935022905
2023-02-28;"9060";APV;YTD;0.007400943758998357
2023-02-28;"9193";APV;"1M";-0.01404206846082301
2023-02-28;"9193";APV;"3M";-0.033700105891488086
2023-02-28;"9193";APV;"6M";-0.04111278317631917
2023-02-28;"9193";APV;"1Y";-0.009198886594336875
2023-02-28;"9193";APV;YTD;0.007463004463008627
2023-02-28;"9428";APV;"1M";-0.014416905893954057
2023-02-28;"9428";APV;"3M";-0.03580573896644845
2023-02-28;"9428";APV;"6M";-0.04485919894762114
2023-02-28;"9428";APV;"1Y";-0.01495351654354593
2023-02-28;"9428";APV;YTD;0.006517093389543538
2023-02-28;"9511";APV;"1M";0.003892110224130718
2023-02-28;"9511";APV;"3M";0.022749488312684196
2023-02-28;"9511";APV;"6M";0.031501463135620744
2023-02-28;"9511";APV;"1Y";0.18998232776196033
2023-02-28;"9511";APV;YTD;0.01429544092587598
2023-02-28;"9648";APV;"1M";-0.0008095555429949
2023-02-28;"9648";APV;"3M";-0.05661793718054209
2023-02-28;"9648";APV;"6M";-0.05945795058981618
2023-02-28;"9648";APV;"1Y";-0.014003964766948429
2023-02-28;"9648";APV;YTD;0.002147852745810752
2023-02-28;"9873";APV;"1M";-0.012384527212231267
2023-02-28;"9873";APV;"3M";-0.04804756668740462
2023-02-28;"9873";APV;"6M";-0.06813867389531736
2023-02-28;"9873";APV;"1Y";-0.04307171225490791
2023-02-28;"9873";APV;YTD;0.002401787533027777
2023-03-01;"8577";APV;"1M";-0.008297975513974487
2023-03-01;"8577";APV;"3M";-0.058136955601010176
2023-03-01;"8577";APV;"6M";-0.032647137942466875
2023-03-01;"8577";APV;"1Y";-0.038959475581936354
2023-03-01;"8577";APV;YTD;-0.01291732334371698
2023-03-01;"8640";APV;"1M";-0.012936915324586185
2023-03-01;"8640";APV;"3M";-0.04823143948157238
2023-03-01;"8640";APV;"6M";-0.047430124260748885
2023-03-01;"8640";APV;"1Y";-0.04085623026955487
2023-03-01;"8640";APV;YTD;-0.007123777913102813
2023-03-01;"8740";APV;"1M";-0.003983779492917949
2023-03-01;"8740";APV;"3M";-0.03374931666332037
2023-03-01;"8740";APV;"6M";-0.02434520063625545
2023-03-01;"8740";APV;"1Y";0.014896886871978765
2023-03-01;"8740";APV;YTD;0.004367393684779897
2023-03-01;"8785";APV;"1M";-0.012612227942592202
2023-03-01;"8785";APV;"3M";-0.06464386362429808
2023-03-01;"8785";APV;"6M";-0.06753231562653395
2023-03-01;"8785";APV;"1Y";-0.0355713322752329
2023-03-01;"8785";APV;YTD;-0.011473103056133804
2023-03-01;"8844";APV;"1M";-0.010235519669070214
2023-03-01;"8844";APV;"3M";-0.05425560571721333
2023-03-01;"8844";APV;"6M";-0.032959536978881654
2023-03-01;"8844";APV;"1Y";-0.008302833645479013
2023-03-01;"8844";APV;YTD;-0.01118045006018853
2023-03-01;"8908";APV;"1M";0.0008684438229298
2023-03-01;"8908";APV;"3M";-0.06203230861948206
2023-03-01;"8908";APV;"6M";-0.03773358187378861
2023-03-01;"8908";APV;"1Y";-0.01684029991353453
2023-03-01;"8908";APV;YTD;-0.006785630360321315
2023-03-01;"8993";APV;"1M";-0.015734346165002355
2023-03-01;"8993";APV;"3M";-0.08683477530708039
2023-03-01;"8993";APV;"6M";-0.08273005462402061
2023-03-01;"8993";APV;"1Y";-0.07500496085247599
2023-03-01;"8993";APV;YTD;-0.029052093217316943
2023-03-01;"9060";APV;"1M";-0.00232209027337682
2023-03-01;"9060";APV;"3M";-0.05870046578139887
2023-03-01;"9060";APV;"6M";-0.035914230483566345
2023-03-01;"9060";APV;"1Y";-0.0013860742995422948
2023-03-01;"9060";APV;YTD;-0.005364962736108092
2023-03-01;"9193";APV;"1M";-0.012216295736135585
2023-03-01;"9193";APV;"3M";-0.04166716771319734
2023-03-01;"9193";APV;"6M";-0.03385761838565837
2023-03-01;"9193";APV;"1Y";-0.01772866752392599
2023-03-01;"9193";APV;YTD;-0.002198260503151861
2023-03-01;"9428";APV;"1M";-0.012591982016214365
2023-03-01;"9428";APV;"3M";-0.04317412638964224
2023-03-01;"9428";APV;"6M";-0.03738498011134672
2023-03-01;"9428";APV;"1Y";-0.023187060243743285
2023-03-01;"9428";APV;YTD;-0.003249373809788736
2023-03-01;"9511";APV;"1M";0.007610631125101408
2023-03-01;"9511";APV;"3M";0.014117033591798611
2023-03-01;"9511";APV;"6M";0.02905948596256458
2023-03-01;"9511";APV;"1Y";0.1956101664821055
2023-03-01;"9511";APV;YTD;0.011631614892484654
2023-03-01;"9648";APV;"1M";-0.0012207092001407238
